שם פרויקט,מספר פרויקט,סטטוס
בנין מבקר המדינה ירושלים,732,הסתיים
בנין שחם - שסטוביץ,228,הסתיים
בנית חדרי טרפו,3781,הסתיים
בנק החקלאות,702,הסתיים
בנק הספנות,108,הסתיים
בנק חקלאות מגורים,987,הסתיים
בנק רוטשילד,597,הסתיים
בעלי המלאכה,956,הסתיים
בקרת גשרים,554,הסתיים
"בר כוכבא - פ""ת",346,הסתיים
בר כוכבא 12,882,הסתיים
ברגרקינג עפולה,3802,הסתיים
ברכת בשמשית,3692,הסתיים
בתי ספר - חב' למשק וכלכלה,142,הסתיים
בתי ספר - עבודות מיזוג אויר,3780,הסתיים
"בתי ספר שילה + מרחבים פ""ח",3340,הסתיים
בתי קולנוע מודיעין,460,הסתיים
גב ים,134,הסתיים
גב ים חולון,526,הסתיים
"גבעת האנטנה 216 יח""ד",4335,הסתיים
"גבעת האנטנה 216 יח""ד- מסירות",6335,הסתיים
גבעת הארמון נצרת,3678,הסתיים
גבעת הפועל - בנימינה,3405,הסתיים
גבעת התחמושת,4318,הסתיים
גבעת עדה,3421,הסתיים
גבעת פרדיס,3359,הסתיים
"גבעת שאול 70 יח""ד",4292,הסתיים
גבעתיים סיטי,520,הסתיים
גבעתיים סיטי בנין 2,650,הסתיים
גדר הפרדה - משרד הביטחון,379,הסתיים
גולדן מארקט קניון הזהב,890,הסתיים
ג'ורדן ואלי,3862,הסתיים
גורן - 458,30458,הסתיים
גזית אחד ראשלצ,942,הסתיים
גל-ים,623,הסתיים
גן החלומות ,1050,הסתיים
גן העיר,5098,הסתיים
גן חובה בנופית,3873,הסתיים
גן ילדים איבטין,3681,הסתיים
גן ילדים איבטין,3785,הסתיים
גן ילדים ביאנוח שלב ב' חלקה 103,3657,הסתיים
גן ילדים בעין הוד,3847,הסתיים
גן ילדים ברכסים צוהר לטוהר,3942,הסתיים
גן ילדים גבעת עדה,3392,הסתיים
גן ילדים דו כיתתי - דימונה,5043,הסתיים
גן ילדים זרעוניה,3419,הסתיים
גן ילדים חוואלד,3696,הסתיים
גן ילדים חרמון - יקנעם,3169,הסתיים
גן ילדים יאנוח,3648,הסתיים
גן ילדים יאנוח שלב ב' שכונת חיילים משוחררים,3664,הסתיים
גן ילדים מנשיה זאבדה,3659,הסתיים
גן ילדים נופית,3612,הסתיים
גן ילדים שמשית,3660,הסתיים
גן ילדים תלת כיתתי יקנעם,3732,הסתיים
גן מרכזי רמת חן,3769,הסתיים
"גנ""י יפה נוף - פ""ח",3341,הסתיים
"גנדן  - פ""ת 2003/4",352,הסתיים
"גנדן נדל""ן - כללי",280,הסתיים
גנדן נדלן -  רעננה מגרש מערב',313,הסתיים
גנדן נדלן - רעננה מגרש מזרחי,296,הסתיים
גני אלכסנדר,5079,הסתיים
גני בנימינה,3403,הסתיים
גני טל - מ מ בני עייש,130,הסתיים
"גני ילדים ""נסאו""",3751,הסתיים
גני ילדים באר שבע,5125,הסתיים
גני תקוה - מרכז ספורט,469,הסתיים
גני תקוה מגרש 1,797,הסתיים
גני תקווה - הסכם פיתוח,293,הסתיים
גפן קרסו  פתח תקווה,1020,הסתיים
גשר 129 רכבת ישראל,1031,הסתיים
"גשר בי""ס דינור",3828,הסתיים
גשר השלושה,755,הסתיים
גשר יד לבנים,3624,הסתיים
"גשר מעבר ב""ס יבנה",3689,הסתיים
גשר רושמייה,3669,הסתיים
דג'ורנו סנטר - מתחם בית אשל,5114,הסתיים
"דגניה הנשיא, כרכור",3384,הסתיים
דוברת כרמיאל,3727,הסתיים
דיור להשכרה - הרצליה,833,הסתיים
דיור מוגן - קומה תומכת,5060,הסתיים
דירות מאייר,878,הסתיים
"דליית אל כרמל - פיתוח אז""ת קיים 1136/2016",306887,הסתיים
"דלתון - השלמת פיתוח + ת""ש מרכזית לביוב 8231/14",30439,הסתיים
דפנה - ארלוזורוב,582,הסתיים
דפנה - נווה גד,884,הסתיים
האוזנר 3,991,הסתיים
האנגר בנשר,3831,הסתיים
האנגר בנשר,3832,הסתיים
האנגר תעשייה אווירית דרום,5195,הסתיים
האנגר תעשייה אווירית דרום - תקציב יועצים,5196,הסתיים
הגדוד העברי - ברודצקי ק. חיים,3863,הסתיים
הגן הטכנולוגי - מנורה,849,הסתיים
הדסה - הר הצופים,4294,הסתיים
הדסה - עין כרם,437,הסתיים
הדסה - עין כרם,4302,הסתיים
הדסה הר הצופים - אורטופדיה,409,הסתיים
הדסה הר הצופים - אישפוז יום ילדים,411,הסתיים
הדסה הר הצופים - פגיה + מעבדות,410,הסתיים
הדסה הר הצופים- הוספיס,408,הסתיים
"הוד השרון 1,200",449,הסתיים
הוד השרון 205,777,הסתיים
הוד השרון מגרש 101,875,הסתיים
הוד השרון מגרש 202,736,הסתיים
"הוצל""פ אשקלון",5085,הסתיים
הושעיה שלב ה',3639,הסתיים
"החלפת גג אסבסט ביה""ס ניצני זבולון",3920,הסתיים
היי פארק – עפולה,3903,הסתיים
"הלמ""ס",602,הסתיים
המבואה המזרחית,5090,הסתיים
המנופים 6 הרצליה,935,הסתיים
המסגר 30,659,הסתיים
הנגשת תחנת אוטובוס - רהט,5105,הסתיים
"הסדרת כביש 6403 ק""מ 16-19",3938,הסתיים
הסדרת מדרכות כפר ביאליק,3662,הסתיים
הסרת סכנה במבנים,3717,הסתיים
הפרדה מפלסית 722,3891,הסתיים
הקמת מגרש ספורט משולב בנימינה,3389,הסתיים
הקמת מפעל מטס בתרדיון,3978,הסתיים
הר חומה,326,הסתיים
הר חומה ,277,הסתיים
הר חומה - שלב ג',381,הסתיים
הר חומה - שלב ד' וכביש מחדר,382,הסתיים
הר חומה מוסדות ציבור,267,הסתיים
הר חוצבים - י-ם,358,הסתיים
הר טוב 60 - ביצוע,1115,הסתיים
הראל עבודות קטנות,619,הסתיים
הרחבה - קיבוץ שובל,5109,הסתיים
הרחבה בעין יהב,5077,הסתיים
הרחבה ניר דוד,3713,הסתיים
הרחבת כביש גבעת עדה,3417,הסתיים
"הרחבת כביש מס' 77 - מע""צ",3722,הסתיים
הרחבת מושב הבונים,3772,הסתיים
הרחבת מפעל דולב,5036,הסתיים
הרחבת מפעל דולב 2,5032,הסתיים
הרחבת מפעל דולב 3,5082,הסתיים
הרחבת מתחם וואן פלאזה,5078,הסתיים
הרחבת קיבוץ בית רימון,3715,הסתיים
הרחבת קיבוץ כרמים - תשתיות,5100,הסתיים
הרחבת קיבוץ ניצנים - תשתיות,5073,הסתיים
הרחבת קמטק,3743,הסתיים
הרחבת קניון גזית כפר סבא,995,הסתיים
הרצליה - מטווח,115,הסתיים
